ShortLabel,ROcc_Hus,Geo
8744c1193ffffff,112,Hex
8744c1194ffffff,17,Hex
8744c1195ffffff,120,Hex
8744c1196ffffff,34,Hex
8744c1198ffffff,528,Hex
8744c1199ffffff,285,Hex
8744c119affffff,632,Hex
8744c119bffffff,194,Hex
8744c119cffffff,312,Hex
8744c119dffffff,240,Hex
8744c119effffff,386,Hex
8744c11a0ffffff,15,Hex
8744c11a1ffffff,94,Hex
8744c11a2ffffff,8,Hex
8744c11a3ffffff,30,Hex
8744c11a4ffffff,4,Hex
8744c11a5ffffff,1,Hex
8744c11a6ffffff,8,Hex
8744c11a8ffffff,160,Hex
8744c11a9ffffff,138,Hex
8744c11aaffffff,98,Hex
8744c11abffffff,135,Hex
8744c11acffffff,96,Hex
8744c11adffffff,33,Hex
8744c11aeffffff,39,Hex
8744c11b0ffffff,64,Hex
8744c11b1ffffff,15,Hex
8744c11b2ffffff,25,Hex
8744c11b3ffffff,63,Hex
8744c11b4ffffff,56,Hex
8744c11b5ffffff,25,Hex
8744c11b6ffffff,106,Hex
8744c1200ffffff,202,Hex
8744c1201ffffff,920,Hex
8744c1202ffffff,267,Hex
8744c1203ffffff,695,Hex
8744c1204ffffff,1357,Hex
8744c1205ffffff,1024,Hex
8744c1206ffffff,146,Hex
8744c1208ffffff,517,Hex
8744c1209ffffff,26,Hex
8744c120affffff,435,Hex
8744c120bffffff,15,Hex
8744c120cffffff,638,Hex
8744c120dffffff,66,Hex
8744c120effffff,790,Hex
8744c1210ffffff,35,Hex
8744c1211ffffff,281,Hex
8744c1212ffffff,172,Hex
8744c1213ffffff,713,Hex
8744c1214ffffff,32,Hex
8744c1215ffffff,207,Hex
8744c1216ffffff,502,Hex
8744c1218ffffff,938,Hex
8744c1219ffffff,825,Hex
8744c121affffff,44,Hex
8744c121bffffff,2231,Hex
8744c121cffffff,459,Hex
8744c121dffffff,1724,Hex
8744c121effffff,1137,Hex
8744c1220ffffff,23,Hex
8744c1221ffffff,3159,Hex
8744c1222ffffff,145,Hex
8744c1223ffffff,371,Hex
8744c1224ffffff,73,Hex
8744c1225ffffff,2801,Hex
8744c1226ffffff,40,Hex
8744c1228ffffff,630,Hex
8744c1229ffffff,123,Hex
8744c122affffff,1506,Hex
8744c122bffffff,542,Hex
8744c122cffffff,818,Hex
8744c122dffffff,112,Hex
8744c122effffff,2589,Hex
8744c1230ffffff,191,Hex
8744c1231ffffff,1155,Hex
8744c1232ffffff,113,Hex
8744c1233ffffff,76,Hex
8744c1234ffffff,2743,Hex
8744c1235ffffff,277,Hex
8744c1236ffffff,1420,Hex
8744c1240ffffff,19,Hex
8744c1241ffffff,27,Hex
8744c1242ffffff,56,Hex
8744c1243ffffff,31,Hex
8744c1244ffffff,12,Hex
8744c1245ffffff,14,Hex
8744c1246ffffff,58,Hex
8744c1248ffffff,110,Hex
8744c1249ffffff,65,Hex
8744c124affffff,8,Hex
8744c124bffffff,28,Hex
8744c124cffffff,97,Hex
8744c124dffffff,172,Hex
8744c124effffff,55,Hex
8744c1250ffffff,9,Hex
8744c1251ffffff,15,Hex
8744c1252ffffff,9,Hex
8744c1253ffffff,10,Hex
8744c1254ffffff,14,Hex
8744c1255ffffff,35,Hex
8744c1256ffffff,14,Hex
8744c1258ffffff,16,Hex
8744c1259ffffff,28,Hex
8744c125affffff,19,Hex
8744c125bffffff,72,Hex
8744c125cffffff,33,Hex
8744c125dffffff,13,Hex
8744c125effffff,20,Hex
8744c1260ffffff,233,Hex
8744c1261ffffff,155,Hex
8744c1262ffffff,76,Hex
8744c1263ffffff,26,Hex
8744c1264ffffff,67,Hex
8744c1265ffffff,293,Hex
8744c1266ffffff,124,Hex
8744c1268ffffff,74,Hex
8744c1269ffffff,350,Hex
8744c126affffff,50,Hex
8744c126bffffff,210,Hex
8744c126cffffff,138,Hex
8744c126dffffff,576,Hex
8744c126effffff,76,Hex
8744c1270ffffff,11,Hex
8744c1271ffffff,20,Hex
8744c1272ffffff,84,Hex
8744c1273ffffff,11,Hex
8744c1274ffffff,163,Hex
8744c1275ffffff,52,Hex
8744c1276ffffff,101,Hex
8744c1280ffffff,39,Hex
8744c1281ffffff,94,Hex
8744c1282ffffff,35,Hex
8744c1283ffffff,73,Hex
8744c1284ffffff,83,Hex
8744c1285ffffff,144,Hex
8744c1286ffffff,403,Hex
8744c1288ffffff,72,Hex
8744c1289ffffff,159,Hex
8744c128affffff,185,Hex
8744c128bffffff,111,Hex
8744c128cffffff,113,Hex
