ShortLabel,ROcc_Hus,Geo
13067031319,946,Tract
13067031320,1442,Tract
13067031321,518,Tract
13067031322,436,Tract
13067031323,248,Tract
13067031324,125,Tract
13067031325,43,Tract
13067031409,717,Tract
13067031410,337,Tract
13067031411,506,Tract
13067031412,1170,Tract
13067031413,945,Tract
13067031414,205,Tract
13067031415,202,Tract
13067031416,197,Tract
13067031417,504,Tract
13067031506,457,Tract
13067031507,358,Tract
13067031510,235,Tract
13067031511,589,Tract
13067031512,288,Tract
13067031513,185,Tract
13067031514,148,Tract
13067031515,140,Tract
13067031516,75,Tract
13067031517,289,Tract
13067031518,124,Tract
13089020100,222,Tract
13089020200,367,Tract
13089020300,233,Tract
13089020400,252,Tract
13089020500,639,Tract
13089020600,753,Tract
13089020700,804,Tract
13089020801,66,Tract
13089020802,483,Tract
13089020901,370,Tract
13089020902,448,Tract
13089021101,121,Tract
13089021103,1104,Tract
13089021104,524,Tract
13089021204,739,Tract
13089021208,1034,Tract
13089021210,84,Tract
13089021211,53,Tract
13089021213,10,Tract
13089021217,347,Tract
13089021219,293,Tract
13089021220,493,Tract
13089021221,568,Tract
13089021222,1772,Tract
13089021223,347,Tract
13089021224,1655,Tract
13089021225,1094,Tract
13089021226,1814,Tract
13089021227,1280,Tract
13089021228,16,Tract
13089021229,57,Tract
13089021230,1330,Tract
13089021301,1422,Tract
13089021305,1146,Tract
13089021306,1425,Tract
13089021307,445,Tract
13089021308,612,Tract
13089021309,386,Tract
13089021310,728,Tract
13089021405,680,Tract
13089021409,1120,Tract
13089021410,1093,Tract
13089021411,1108,Tract
13089021412,192,Tract
13089021415,1014,Tract
13089021416,280,Tract
13089021417,1401,Tract
13089021418,948,Tract
13089021419,804,Tract
13089021420,510,Tract
13089021421,421,Tract
13089021502,1316,Tract
13089021503,906,Tract
13089021505,998,Tract
13089021506,830,Tract
13089021602,464,Tract
13089021604,15,Tract
13089021606,877,Tract
13089021607,524,Tract
13089021608,1308,Tract
13089021609,209,Tract
13089021703,92,Tract
13089021707,43,Tract
13089021708,612,Tract
13089021709,830,Tract
13089021710,113,Tract
13089021711,221,Tract
13089021712,968,Tract
13089021808,395,Tract
13089021812,326,Tract
13089021813,1017,Tract
13089021815,1785,Tract
13089021816,230,Tract
13089021817,205,Tract
13089021818,532,Tract
13089021819,133,Tract
13089021820,779,Tract
13089021821,204,Tract
13089021822,309,Tract
13089021823,481,Tract
13089021824,401,Tract
13089021906,735,Tract
13089021908,1261,Tract
13089021910,757,Tract
13089021911,1156,Tract
13089021912,25,Tract
13089021913,1799,Tract
13089021914,621,Tract
13089021915,260,Tract
13089021916,684,Tract
13089021917,809,Tract
13089022001,680,Tract
13089022005,983,Tract
13089022007,1028,Tract
13089022010,207,Tract
13089022011,949,Tract
13089022012,767,Tract
13089022013,880,Tract
13089022014,650,Tract
13089022015,235,Tract
13089022016,279,Tract
13089022100,641,Tract
13089022203,690,Tract
13089022205,616,Tract
13089022206,1081,Tract
13089022302,691,Tract
13089022303,735,Tract
13089022304,646,Tract
13089022401,886,Tract
13089022403,128,Tract
13089022404,698,Tract
13089022405,323,Tract
13089022501,1138,Tract
13089022502,92,Tract
13089022601,946,Tract
13089022602,239,Tract
13089022700,216,Tract
13089022800,282,Tract
13089022900,630,Tract
13089023000,279,Tract
13089023101,614,Tract
13089023102,593,Tract
13089023107,414,Tract
13089023108,825,Tract
13089023111,181,Tract
13089023112,1202,Tract
13089023113,879,Tract
13089023114,370,Tract
13089023115,0,Tract
13089023209,381,Tract
13089023211,481,Tract
13089023212,447,Tract
13089023213,1038,Tract
13089023214,1114,Tract
13089023215,308,Tract
13089023216,665,Tract
13089023217,324,Tract
13089023218,1073,Tract
13089023219,265,Tract
13089023220,305,Tract
13089023221,166,Tract
13089023222,812,Tract
13089023311,380,Tract
13089023313,427,Tract
13089023315,321,Tract
13089023317,647,Tract
13089023318,217,Tract
13089023319,540,Tract
13089023320,1575,Tract
13089023321,1319,Tract
13089023322,508,Tract
13089023323,111,Tract
13089023324,152,Tract
13089023325,236,Tract
13089023326,484,Tract
13089023327,996,Tract
13089023328,856,Tract
13089023329,235,Tract
13089023330,82,Tract
13089023331,420,Tract
13089023332,294,Tract
13089023410,1273,Tract
13089023411,501,Tract
13089023413,162,Tract
13089023422,419,Tract
13089023424,237,Tract
13089023425,386,Tract
13089023426,302,Tract
13089023427,225,Tract
13089023429,895,Tract
13089023430,930,Tract
13089023431,225,Tract
13089023432,356,Tract
13089023433,134,Tract
13089023434,558,Tract
13089023435,805,Tract
13089023436,348,Tract
13089023437,365,Tract
13089023438,301,Tract
13089023439,525,Tract
13089023440,826,Tract
13089023441,285,Tract
13089023442,321,Tract
13089023443,280,Tract
13089023444,389,Tract
13089023445,142,Tract
13089023446,419,Tract
13089023447,130,Tract
13089023448,397,Tract
13089023501,623,Tract
13089023504,426,Tract
13089023505,190,Tract
13089023506,425,Tract
13089023507,215,Tract
13089023601,230,Tract
13089023602,239,Tract
13089023603,593,Tract
13089023701,401,Tract
13089023702,810,Tract
13089023801,472,Tract
13089023802,649,Tract
13089023803,526,Tract
13089980000,0,Tract
13097080104,1446,Tract
13097080105,976,Tract
13097080106,743,Tract
13097080107,1855,Tract
13097080201,373,Tract
13097080203,670,Tract
13097080204,688,Tract
13097080303,659,Tract
13097080304,1706,Tract
13097080305,615,Tract
13097080306,429,Tract
13097080307,451,Tract
13097080403,176,Tract
13097080405,165,Tract
13097080406,132,Tract
13097080407,767,Tract
13097080408,242,Tract
13097080505,532,Tract
13097080506,240,Tract
13097080507,397,Tract
13097080508,1104,Tract
13097080509,391,Tract
13097080512,77,Tract
13097080513,210,Tract
13097080514,79,Tract
13097080515,328,Tract
13097080602,604,Tract
13097080605,318,Tract
13097080606,327,Tract
13097080607,208,Tract
13097080608,321,Tract
13113140102,182,Tract
13113140103,102,Tract
13113140104,188,Tract
13113140203,169,Tract
13113140204,674,Tract
13113140206,292,Tract
13113140207,828,Tract
13113140209,159,Tract
13113140210,908,Tract
13113140303,324,Tract
13113140304,385,Tract
13113140305,214,Tract
13113140307,69,Tract
13113140308,205,Tract
13113140309,1020,Tract
13113140403,30,Tract
13113140404,1006,Tract
13113140405,102,Tract
13113140406,260,Tract
13113140408,61,Tract
13113140409,115,Tract
13113140410,839,Tract
13113140501,116,Tract
13113140502,52,Tract
13117130101,77,Tract
13117130102,32,Tract
13117130103,190,Tract
13117130104,66,Tract
13117130105,259,Tract
13117130201,147,Tract
13117130202,124,Tract
13117130203,451,Tract
13117130204,654,Tract
13117130205,676,Tract
13117130301,145,Tract
13117130302,87,Tract
13117130303,81,Tract
13117130304,161,Tract
13117130305,115,Tract
13117130306,145,Tract
13117130307,173,Tract
13117130406,709,Tract
13117130409,294,Tract
13117130410,1091,Tract
13117130411,144,Tract
13117130412,97,Tract
13117130413,480,Tract
13117130414,121,Tract
13117130415,67,Tract
13117130503,204,Tract
13117130504,235,Tract
13117130505,43,Tract
13117130506,411,Tract
13117130507,72,Tract
13117130508,159,Tract
13117130509,155,Tract
13117130511,478,Tract
13117130512,37,Tract
13117130601,529,Tract
13117130602,602,Tract
13117130603,1163,Tract
13117130604,134,Tract
13117130605,121,Tract
13117130606,247,Tract
13117130607,208,Tract
13117130608,128,Tract
13117130609,320,Tract
13117130610,67,Tract
13117130611,102,Tract
13117130613,483,Tract
13117130614,529,Tract
13117130615,14,Tract
13121000100,1020,Tract
13121000201,289,Tract
13121000202,251,Tract
13121000400,339,Tract
13121000501,1689,Tract
13121000502,171,Tract
13121000601,1843,Tract
13121000602,1029,Tract
13121000700,129,Tract
13121001001,1763,Tract
